"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(50Hertz)","Actual Total Load [MW] - CTA|DE(50Hertz)"
"03.01.2015 11:45 - 03.01.2015 12:00","9046","9245"
"03.01.2015 12:00 - 03.01.2015 12:15","8653","9062"
"03.01.2015 12:15 - 03.01.2015 12:30","8562","8832"
"03.01.2015 12:30 - 03.01.2015 12:45","8410","8704"
"03.01.2015 12:45 - 03.01.2015 13:00","8313","8599"
"03.01.2015 13:00 - 03.01.2015 13:15","8247","8659"
"03.01.2015 13:15 - 03.01.2015 13:30","8161","8439"
"03.01.2015 13:30 - 03.01.2015 13:45","8072","8454"
"03.01.2015 13:45 - 03.01.2015 14:00","8052","8082"
"03.01.2015 14:00 - 03.01.2015 14:15","8059","7933"
"03.01.2015 14:15 - 03.01.2015 14:30","8027","7691"
"03.01.2015 14:30 - 03.01.2015 14:45","7971","7425"
"03.01.2015 14:45 - 03.01.2015 15:00","7903","7337"
"03.01.2015 15:00 - 03.01.2015 15:15","7966","7379"
"03.01.2015 15:15 - 03.01.2015 15:30","7623","7422"
"03.01.2015 15:30 - 03.01.2015 15:45","7109","7526"
"03.01.2015 15:45 - 03.01.2015 16:00","7663","7598"
"03.01.2015 16:00 - 03.01.2015 16:15","8345","7737"
"03.01.2015 16:15 - 03.01.2015 16:30","8461","7989"
"03.01.2015 16:30 - 03.01.2015 16:45","8233","8267"
"03.01.2015 16:45 - 03.01.2015 17:00","7920","8228"
"03.01.2015 17:00 - 03.01.2015 17:15","7846","8458"
"03.01.2015 17:15 - 03.01.2015 17:30","7928","8460"
"03.01.2015 17:30 - 03.01.2015 17:45","8176","8564"
"03.01.2015 17:45 - 03.01.2015 18:00","8140","8582"
"03.01.2015 18:00 - 03.01.2015 18:15","8146","8563"
"03.01.2015 18:15 - 03.01.2015 18:30","8162","8746"
"03.01.2015 18:30 - 03.01.2015 18:45","7985","8564"
"03.01.2015 18:45 - 03.01.2015 19:00","7929","8399"
"03.01.2015 19:00 - 03.01.2015 19:15","7885","8491"
