date,from,to,actual,forecast
2010-01-02 00:00:00,2010-01-02 06:45:00,2010-01-02 07:00:00,14535.0,17300.0
2010-01-02 00:00:00,2010-01-02 07:00:00,2010-01-02 07:15:00,14556.0,17527.0
2010-01-02 00:00:00,2010-01-02 07:15:00,2010-01-02 07:30:00,14694.0,17866.0
2010-01-02 00:00:00,2010-01-02 07:30:00,2010-01-02 07:45:00,15013.0,18236.0
2010-01-02 00:00:00,2010-01-02 07:45:00,2010-01-02 08:00:00,15261.0,18762.0
2010-01-02 00:00:00,2010-01-02 08:00:00,2010-01-02 08:15:00,15942.0,19092.0
2010-01-02 00:00:00,2010-01-02 08:15:00,2010-01-02 08:30:00,16139.0,19471.0
2010-01-02 00:00:00,2010-01-02 08:30:00,2010-01-02 08:45:00,16394.0,19691.0
2010-01-02 00:00:00,2010-01-02 08:45:00,2010-01-02 09:00:00,16668.0,20119.0
2010-01-02 00:00:00,2010-01-02 09:00:00,2010-01-02 09:15:00,17206.0,20349.0
2010-01-02 00:00:00,2010-01-02 09:15:00,2010-01-02 09:30:00,17624.0,20727.0
2010-01-02 00:00:00,2010-01-02 09:30:00,2010-01-02 09:45:00,17856.0,21031.0
2010-01-02 00:00:00,2010-01-02 09:45:00,2010-01-02 10:00:00,18063.0,21349.0
2010-01-02 00:00:00,2010-01-02 10:00:00,2010-01-02 10:15:00,18342.0,21497.0
2010-01-02 00:00:00,2010-01-02 10:15:00,2010-01-02 10:30:00,18496.0,21542.0
2010-01-02 00:00:00,2010-01-02 10:30:00,2010-01-02 10:45:00,18572.0,21570.0
2010-01-02 00:00:00,2010-01-02 10:45:00,2010-01-02 11:00:00,18665.0,21562.0
2010-01-02 00:00:00,2010-01-02 11:00:00,2010-01-02 11:15:00,18861.0,21678.0
2010-01-02 00:00:00,2010-01-02 11:15:00,2010-01-02 11:30:00,19020.0,21687.0
2010-01-02 00:00:00,2010-01-02 11:30:00,2010-01-02 11:45:00,19178.0,21834.0
2010-01-02 00:00:00,2010-01-02 11:45:00,2010-01-02 12:00:00,19302.0,21870.0
2010-01-02 00:00:00,2010-01-02 12:00:00,2010-01-02 12:15:00,19639.0,22062.0
2010-01-02 00:00:00,2010-01-02 12:15:00,2010-01-02 12:30:00,19718.0,22077.0
2010-01-02 00:00:00,2010-01-02 12:30:00,2010-01-02 12:45:00,19742.0,22108.0
2010-01-02 00:00:00,2010-01-02 12:45:00,2010-01-02 13:00:00,19683.0,22069.0
2010-01-02 00:00:00,2010-01-02 13:00:00,2010-01-02 13:15:00,19612.0,21951.0
2010-01-02 00:00:00,2010-01-02 13:15:00,2010-01-02 13:30:00,19575.0,21882.0
2010-01-02 00:00:00,2010-01-02 13:30:00,2010-01-02 13:45:00,19572.0,22046.0
2010-01-02 00:00:00,2010-01-02 13:45:00,2010-01-02 14:00:00,19475.0,21770.0
2010-01-02 00:00:00,2010-01-02 14:00:00,2010-01-02 14:15:00,19327.0,21592.0
2010-01-02 00:00:00,2010-01-02 14:15:00,2010-01-02 14:30:00,19378.0,21631.0
2010-01-02 00:00:00,2010-01-02 14:30:00,2010-01-02 14:45:00,19428.0,21591.0
2010-01-02 00:00:00,2010-01-02 14:45:00,2010-01-02 15:00:00,19381.0,21526.0
2010-01-02 00:00:00,2010-01-02 15:00:00,2010-01-02 15:15:00,19460.0,21504.0
2010-01-02 00:00:00,2010-01-02 15:15:00,2010-01-02 15:30:00,19323.0,21602.0
2010-01-02 00:00:00,2010-01-02 15:30:00,2010-01-02 15:45:00,19529.0,21606.0
2010-01-02 00:00:00,2010-01-02 15:45:00,2010-01-02 16:00:00,19497.0,21584.0
2010-01-02 00:00:00,2010-01-02 16:00:00,2010-01-02 16:15:00,19665.0,21597.0
2010-01-02 00:00:00,2010-01-02 16:15:00,2010-01-02 16:30:00,19712.0,21920.0
2010-01-02 00:00:00,2010-01-02 16:30:00,2010-01-02 16:45:00,19996.0,22119.0
2010-01-02 00:00:00,2010-01-02 16:45:00,2010-01-02 17:00:00,20507.0,22651.0
2010-01-02 00:00:00,2010-01-02 17:00:00,2010-01-02 17:15:00,21027.0,23115.0
2010-01-02 00:00:00,2010-01-02 17:15:00,2010-01-02 17:30:00,21179.0,23103.0
2010-01-02 00:00:00,2010-01-02 17:30:00,2010-01-02 17:45:00,21356.0,23371.0
2010-01-02 00:00:00,2010-01-02 17:45:00,2010-01-02 18:00:00,21475.0,23349.0
2010-01-02 00:00:00,2010-01-02 18:00:00,2010-01-02 18:15:00,21337.0,23378.0
2010-01-02 00:00:00,2010-01-02 18:15:00,2010-01-02 18:30:00,21261.0,23358.0
2010-01-02 00:00:00,2010-01-02 18:30:00,2010-01-02 18:45:00,21234.0,23190.0
2010-01-02 00:00:00,2010-01-02 18:45:00,2010-01-02 19:00:00,21099.0,22953.0
2010-01-02 00:00:00,2010-01-02 19:00:00,2010-01-02 19:15:00,21048.0,22874.0
2010-01-02 00:00:00,2010-01-02 19:15:00,2010-01-02 19:30:00,20869.0,22701.0
2010-01-02 00:00:00,2010-01-02 19:30:00,2010-01-02 19:45:00,20770.0,22463.0
2010-01-02 00:00:00,2010-01-02 19:45:00,2010-01-02 20:00:00,20631.0,22227.0
2010-01-02 00:00:00,2010-01-02 20:00:00,2010-01-02 20:15:00,20397.0,22001.0
2010-01-02 00:00:00,2010-01-02 20:15:00,2010-01-02 20:30:00,20086.0,21557.0
2010-01-02 00:00:00,2010-01-02 20:30:00,2010-01-02 20:45:00,19752.0,21107.0
2010-01-02 00:00:00,2010-01-02 20:45:00,2010-01-02 21:00:00,19561.0,21013.0
2010-01-02 00:00:00,2010-01-02 21:00:00,2010-01-02 21:15:00,19688.0,21185.0
2010-01-02 00:00:00,2010-01-02 21:15:00,2010-01-02 21:30:00,19675.0,21213.0
2010-01-02 00:00:00,2010-01-02 21:30:00,2010-01-02 21:45:00,19486.0,21119.0
2010-01-02 00:00:00,2010-01-02 21:45:00,2010-01-02 22:00:00,19616.0,21418.0
2010-01-02 00:00:00,2010-01-02 22:00:00,2010-01-02 22:15:00,19778.0,21550.0
2010-01-02 00:00:00,2010-01-02 22:15:00,2010-01-02 22:30:00,19742.0,21380.0
2010-01-02 00:00:00,2010-01-02 22:30:00,2010-01-02 22:45:00,19640.0,21190.0
2010-01-02 00:00:00,2010-01-02 22:45:00,2010-01-02 23:00:00,19459.0,20876.0
2010-01-02 00:00:00,2010-01-02 23:00:00,2010-01-02 23:15:00,19193.0,20934.0
2010-01-02 00:00:00,2010-01-02 23:15:00,2010-01-02 23:30:00,18804.0,20652.0
2010-01-02 00:00:00,2010-01-02 23:30:00,2010-01-02 23:45:00,18526.0,20332.0
2010-01-02 00:00:00,2010-01-02 23:45:00,2010-01-02 00:00:00,18191.0,19951.0
2010-01-03 00:00:00,2010-01-03 00:00:00,2010-01-03 00:15:00,18529.0,18951.0
2010-01-03 00:00:00,2010-01-03 00:15:00,2010-01-03 00:30:00,18212.0,18948.0
2010-01-03 00:00:00,2010-01-03 00:30:00,2010-01-03 00:45:00,17979.0,18690.0
2010-01-03 00:00:00,2010-01-03 00:45:00,2010-01-03 01:00:00,17668.0,18465.0
2010-01-03 00:00:00,2010-01-03 01:00:00,2010-01-03 01:15:00,17362.0,18156.0
2010-01-03 00:00:00,2010-01-03 01:15:00,2010-01-03 01:30:00,17170.0,17989.0
2010-01-03 00:00:00,2010-01-03 01:30:00,2010-01-03 01:45:00,16853.0,17626.0
2010-01-03 00:00:00,2010-01-03 01:45:00,2010-01-03 02:00:00,16744.0,17506.0
2010-01-03 00:00:00,2010-01-03 02:00:00,2010-01-03 02:15:00,16697.0,16918.0
2010-01-03 00:00:00,2010-01-03 02:15:00,2010-01-03 02:30:00,16575.0,16818.0
2010-01-03 00:00:00,2010-01-03 02:30:00,2010-01-03 02:45:00,16432.0,16663.0
2010-01-03 00:00:00,2010-01-03 02:45:00,2010-01-03 03:00:00,16355.0,16547.0
2010-01-03 00:00:00,2010-01-03 03:00:00,2010-01-03 03:15:00,16256.0,16382.0
2010-01-03 00:00:00,2010-01-03 03:15:00,2010-01-03 03:30:00,16265.0,15939.0
2010-01-03 00:00:00,2010-01-03 03:30:00,2010-01-03 03:45:00,16194.0,15685.0
2010-01-03 00:00:00,2010-01-03 03:45:00,2010-01-03 04:00:00,16195.0,15528.0
2010-01-03 00:00:00,2010-01-03 04:00:00,2010-01-03 04:15:00,16171.0,15293.0
2010-01-03 00:00:00,2010-01-03 04:15:00,2010-01-03 04:30:00,16077.0,15153.0
2010-01-03 00:00:00,2010-01-03 04:30:00,2010-01-03 04:45:00,15979.0,15036.0
2010-01-03 00:00:00,2010-01-03 04:45:00,2010-01-03 05:00:00,15895.0,14896.0
2010-01-03 00:00:00,2010-01-03 05:00:00,2010-01-03 05:15:00,15666.0,14788.0
2010-01-03 00:00:00,2010-01-03 05:15:00,2010-01-03 05:30:00,15538.0,14620.0
2010-01-03 00:00:00,2010-01-03 05:30:00,2010-01-03 05:45:00,15445.0,14436.0
2010-01-03 00:00:00,2010-01-03 05:45:00,2010-01-03 06:00:00,15210.0,14282.0
2010-01-03 00:00:00,2010-01-03 06:00:00,2010-01-03 06:15:00,14830.0,13782.0
2010-01-03 00:00:00,2010-01-03 06:15:00,2010-01-03 06:30:00,14769.0,13638.0
2010-01-03 00:00:00,2010-01-03 06:30:00,2010-01-03 06:45:00,14854.0,13473.0
2010-01-03 00:00:00,2010-01-03 06:45:00,2010-01-03 07:00:00,14934.0,13421.0
