date,from,to,actual,they
2017-01-02 00:00:00,2017-01-02 05:15:00,2017-01-02 05:30:00,17605.0,16874.0
2017-01-02 00:00:00,2017-01-02 05:30:00,2017-01-02 05:45:00,17804.0,17215.0
2017-01-02 00:00:00,2017-01-02 05:45:00,2017-01-02 06:00:00,18306.0,17656.0
2017-01-02 00:00:00,2017-01-02 06:00:00,2017-01-02 06:15:00,19201.0,18667.0
2017-01-02 00:00:00,2017-01-02 06:15:00,2017-01-02 06:30:00,19727.0,19306.0
2017-01-02 00:00:00,2017-01-02 06:30:00,2017-01-02 06:45:00,20380.0,19916.0
2017-01-02 00:00:00,2017-01-02 06:45:00,2017-01-02 07:00:00,20987.0,20336.0
2017-01-02 00:00:00,2017-01-02 07:00:00,2017-01-02 07:15:00,21613.0,20941.0
2017-01-02 00:00:00,2017-01-02 07:15:00,2017-01-02 07:30:00,21891.0,21213.0
2017-01-02 00:00:00,2017-01-02 07:30:00,2017-01-02 07:45:00,22463.0,21515.0
2017-01-02 00:00:00,2017-01-02 07:45:00,2017-01-02 08:00:00,22968.0,21805.0
2017-01-02 00:00:00,2017-01-02 08:00:00,2017-01-02 08:15:00,23448.0,22154.0
2017-01-02 00:00:00,2017-01-02 08:15:00,2017-01-02 08:30:00,23747.0,22264.0
2017-01-02 00:00:00,2017-01-02 08:30:00,2017-01-02 08:45:00,23952.0,22361.0
2017-01-02 00:00:00,2017-01-02 08:45:00,2017-01-02 09:00:00,24179.0,22411.0
2017-01-02 00:00:00,2017-01-02 09:00:00,2017-01-02 09:15:00,24194.0,22455.0
2017-01-02 00:00:00,2017-01-02 09:15:00,2017-01-02 09:30:00,24348.0,22599.0
2017-01-02 00:00:00,2017-01-02 09:30:00,2017-01-02 09:45:00,24668.0,22784.0
2017-01-02 00:00:00,2017-01-02 09:45:00,2017-01-02 10:00:00,24636.0,22914.0
2017-01-02 00:00:00,2017-01-02 10:00:00,2017-01-02 10:15:00,24749.0,23002.0
2017-01-02 00:00:00,2017-01-02 10:15:00,2017-01-02 10:30:00,24772.0,23127.0
2017-01-02 00:00:00,2017-01-02 10:30:00,2017-01-02 10:45:00,25112.0,23314.0
2017-01-02 00:00:00,2017-01-02 10:45:00,2017-01-02 11:00:00,25209.0,23457.0
2017-01-02 00:00:00,2017-01-02 11:00:00,2017-01-02 11:15:00,25205.0,23566.0
2017-01-02 00:00:00,2017-01-02 11:15:00,2017-01-02 11:30:00,25300.0,23696.0
2017-01-02 00:00:00,2017-01-02 11:30:00,2017-01-02 11:45:00,25229.0,23900.0
2017-01-02 00:00:00,2017-01-02 11:45:00,2017-01-02 12:00:00,25296.0,23978.0
2017-01-02 00:00:00,2017-01-02 12:00:00,2017-01-02 12:15:00,25204.0,23868.0
2017-01-02 00:00:00,2017-01-02 12:15:00,2017-01-02 12:30:00,25274.0,23982.0
2017-01-02 00:00:00,2017-01-02 12:30:00,2017-01-02 12:45:00,25149.0,24151.0
2017-01-02 00:00:00,2017-01-02 12:45:00,2017-01-02 13:00:00,25216.0,24205.0
2017-01-02 00:00:00,2017-01-02 13:00:00,2017-01-02 13:15:00,25286.0,24231.0
2017-01-02 00:00:00,2017-01-02 13:15:00,2017-01-02 13:30:00,25008.0,24168.0
2017-01-02 00:00:00,2017-01-02 13:30:00,2017-01-02 13:45:00,24754.0,24155.0
2017-01-02 00:00:00,2017-01-02 13:45:00,2017-01-02 14:00:00,24442.0,24030.0
2017-01-02 00:00:00,2017-01-02 14:00:00,2017-01-02 14:15:00,24424.0,23988.0
2017-01-02 00:00:00,2017-01-02 14:15:00,2017-01-02 14:30:00,24625.0,23979.0
2017-01-02 00:00:00,2017-01-02 14:30:00,2017-01-02 14:45:00,24444.0,23999.0
2017-01-02 00:00:00,2017-01-02 14:45:00,2017-01-02 15:00:00,24229.0,23913.0
2017-01-02 00:00:00,2017-01-02 15:00:00,2017-01-02 15:15:00,24322.0,23972.0
2017-01-02 00:00:00,2017-01-02 15:15:00,2017-01-02 15:30:00,24169.0,23855.0
2017-01-02 00:00:00,2017-01-02 15:30:00,2017-01-02 15:45:00,24103.0,23841.0
2017-01-02 00:00:00,2017-01-02 15:45:00,2017-01-02 16:00:00,23957.0,23700.0
2017-01-02 00:00:00,2017-01-02 16:00:00,2017-01-02 16:15:00,23933.0,23709.0
2017-01-02 00:00:00,2017-01-02 16:15:00,2017-01-02 16:30:00,23945.0,23768.0
2017-01-02 00:00:00,2017-01-02 16:30:00,2017-01-02 16:45:00,24232.0,23951.0
2017-01-02 00:00:00,2017-01-02 16:45:00,2017-01-02 17:00:00,24627.0,24230.0
2017-01-02 00:00:00,2017-01-02 17:00:00,2017-01-02 17:15:00,25192.0,24675.0
2017-01-02 00:00:00,2017-01-02 17:15:00,2017-01-02 17:30:00,25491.0,24808.0
2017-01-02 00:00:00,2017-01-02 17:30:00,2017-01-02 17:45:00,25608.0,24919.0
2017-01-02 00:00:00,2017-01-02 17:45:00,2017-01-02 18:00:00,25666.0,24950.0
2017-01-02 00:00:00,2017-01-02 18:00:00,2017-01-02 18:15:00,25470.0,24967.0
2017-01-02 00:00:00,2017-01-02 18:15:00,2017-01-02 18:30:00,25331.0,24926.0
2017-01-02 00:00:00,2017-01-02 18:30:00,2017-01-02 18:45:00,25354.0,24885.0
2017-01-02 00:00:00,2017-01-02 18:45:00,2017-01-02 19:00:00,25305.0,24825.0
2017-01-02 00:00:00,2017-01-02 19:00:00,2017-01-02 19:15:00,25200.0,24705.0
2017-01-02 00:00:00,2017-01-02 19:15:00,2017-01-02 19:30:00,25154.0,24448.0
2017-01-02 00:00:00,2017-01-02 19:30:00,2017-01-02 19:45:00,25138.0,24225.0
2017-01-02 00:00:00,2017-01-02 19:45:00,2017-01-02 20:00:00,25006.0,24037.0
2017-01-02 00:00:00,2017-01-02 20:00:00,2017-01-02 20:15:00,24475.0,23567.0
2017-01-02 00:00:00,2017-01-02 20:15:00,2017-01-02 20:30:00,24013.0,23241.0
2017-01-02 00:00:00,2017-01-02 20:30:00,2017-01-02 20:45:00,23714.0,22861.0
2017-01-02 00:00:00,2017-01-02 20:45:00,2017-01-02 21:00:00,23478.0,22602.0
2017-01-02 00:00:00,2017-01-02 21:00:00,2017-01-02 21:15:00,23014.0,22452.0
2017-01-02 00:00:00,2017-01-02 21:15:00,2017-01-02 21:30:00,22680.0,22287.0
2017-01-02 00:00:00,2017-01-02 21:30:00,2017-01-02 21:45:00,22453.0,22144.0
2017-01-02 00:00:00,2017-01-02 21:45:00,2017-01-02 22:00:00,22468.0,21964.0
2017-01-02 00:00:00,2017-01-02 22:00:00,2017-01-02 22:15:00,22395.0,21781.0
2017-01-02 00:00:00,2017-01-02 22:15:00,2017-01-02 22:30:00,22207.0,21522.0
2017-01-02 00:00:00,2017-01-02 22:30:00,2017-01-02 22:45:00,21875.0,21185.0
2017-01-02 00:00:00,2017-01-02 22:45:00,2017-01-02 23:00:00,21634.0,20743.0
2017-01-02 00:00:00,2017-01-02 23:00:00,2017-01-02 23:15:00,21424.0,20243.0
2017-01-02 00:00:00,2017-01-02 23:15:00,2017-01-02 23:30:00,21163.0,19890.0
2017-01-02 00:00:00,2017-01-02 23:30:00,2017-01-02 23:45:00,20743.0,19483.0
2017-01-02 00:00:00,2017-01-02 23:45:00,2017-01-03 00:00:00,20490.0,19190.0
2017-01-03 00:00:00,2017-01-03 00:00:00,2017-01-03 00:15:00,20338.0,18417.0
2017-01-03 00:00:00,2017-01-03 00:15:00,2017-01-03 00:30:00,20049.0,18166.0
2017-01-03 00:00:00,2017-01-03 00:30:00,2017-01-03 00:45:00,19730.0,18020.0
2017-01-03 00:00:00,2017-01-03 00:45:00,2017-01-03 01:00:00,19163.0,17937.0
2017-01-03 00:00:00,2017-01-03 01:00:00,2017-01-03 01:15:00,18799.0,17772.0
2017-01-03 00:00:00,2017-01-03 01:15:00,2017-01-03 01:30:00,18748.0,17679.0
2017-01-03 00:00:00,2017-01-03 01:30:00,2017-01-03 01:45:00,18685.0,17577.0
2017-01-03 00:00:00,2017-01-03 01:45:00,2017-01-03 02:00:00,18568.0,17523.0
2017-01-03 00:00:00,2017-01-03 02:00:00,2017-01-03 02:15:00,18393.0,17448.0
2017-01-03 00:00:00,2017-01-03 02:15:00,2017-01-03 02:30:00,18367.0,17431.0
2017-01-03 00:00:00,2017-01-03 02:30:00,2017-01-03 02:45:00,18422.0,17410.0
2017-01-03 00:00:00,2017-01-03 02:45:00,2017-01-03 03:00:00,18383.0,17397.0
2017-01-03 00:00:00,2017-01-03 03:00:00,2017-01-03 03:15:00,18480.0,17461.0
2017-01-03 00:00:00,2017-01-03 03:15:00,2017-01-03 03:30:00,18537.0,17486.0
2017-01-03 00:00:00,2017-01-03 03:30:00,2017-01-03 03:45:00,18563.0,17457.0
2017-01-03 00:00:00,2017-01-03 03:45:00,2017-01-03 04:00:00,18605.0,17481.0
2017-01-03 00:00:00,2017-01-03 04:00:00,2017-01-03 04:15:00,18647.0,17559.0
2017-01-03 00:00:00,2017-01-03 04:15:00,2017-01-03 04:30:00,18790.0,17615.0
2017-01-03 00:00:00,2017-01-03 04:30:00,2017-01-03 04:45:00,18952.0,17693.0
2017-01-03 00:00:00,2017-01-03 04:45:00,2017-01-03 05:00:00,18984.0,17819.0
2017-01-03 00:00:00,2017-01-03 05:00:00,2017-01-03 05:15:00,19349.0,18189.0
2017-01-03 00:00:00,2017-01-03 05:15:00,2017-01-03 05:30:00,19562.0,18371.0
2017-01-03 00:00:00,2017-01-03 05:30:00,2017-01-03 05:45:00,19713.0,18637.0
2017-01-03 00:00:00,2017-01-03 05:45:00,2017-01-03 06:00:00,20039.0,18983.0
2017-01-03 00:00:00,2017-01-03 06:00:00,2017-01-03 06:15:00,20961.0,19874.0
2017-01-03 00:00:00,2017-01-03 06:15:00,2017-01-03 06:30:00,21468.0,20472.0
2017-01-03 00:00:00,2017-01-03 06:30:00,2017-01-03 06:45:00,21943.0,21027.0
2017-01-03 00:00:00,2017-01-03 06:45:00,2017-01-03 07:00:00,22492.0,21403.0
2017-01-03 00:00:00,2017-01-03 07:00:00,2017-01-03 07:15:00,23024.0,21972.0
2017-01-03 00:00:00,2017-01-03 07:15:00,2017-01-03 07:30:00,23344.0,22262.0
2017-01-03 00:00:00,2017-01-03 07:30:00,2017-01-03 07:45:00,23953.0,22530.0
2017-01-03 00:00:00,2017-01-03 07:45:00,2017-01-03 08:00:00,24510.0,22794.0
2017-01-03 00:00:00,2017-01-03 08:00:00,2017-01-03 08:15:00,24904.0,23156.0
2017-01-03 00:00:00,2017-01-03 08:15:00,2017-01-03 08:30:00,25122.0,23258.0
2017-01-03 00:00:00,2017-01-03 08:30:00,2017-01-03 08:45:00,25463.0,23301.0
2017-01-03 00:00:00,2017-01-03 08:45:00,2017-01-03 09:00:00,25427.0,23356.0
2017-01-03 00:00:00,2017-01-03 09:00:00,2017-01-03 09:15:00,25351.0,23365.0
2017-01-03 00:00:00,2017-01-03 09:15:00,2017-01-03 09:30:00,25553.0,23472.0
2017-01-03 00:00:00,2017-01-03 09:30:00,2017-01-03 09:45:00,25670.0,23655.0
2017-01-03 00:00:00,2017-01-03 09:45:00,2017-01-03 10:00:00,25817.0,23783.0
2017-01-03 00:00:00,2017-01-03 10:00:00,2017-01-03 10:15:00,25980.0,23868.0
2017-01-03 00:00:00,2017-01-03 10:15:00,2017-01-03 10:30:00,26070.0,23999.0
2017-01-03 00:00:00,2017-01-03 10:30:00,2017-01-03 10:45:00,26237.0,24186.0
2017-01-03 00:00:00,2017-01-03 10:45:00,2017-01-03 11:00:00,26260.0,24339.0
2017-01-03 00:00:00,2017-01-03 11:00:00,2017-01-03 11:15:00,26356.0,24435.0
2017-01-03 00:00:00,2017-01-03 11:15:00,2017-01-03 11:30:00,26531.0,24560.0
2017-01-03 00:00:00,2017-01-03 11:30:00,2017-01-03 11:45:00,26599.0,24790.0
2017-01-03 00:00:00,2017-01-03 11:45:00,2017-01-03 12:00:00,26721.0,24865.0
2017-01-03 00:00:00,2017-01-03 12:00:00,2017-01-03 12:15:00,26569.0,24783.0
2017-01-03 00:00:00,2017-01-03 12:15:00,2017-01-03 12:30:00,26644.0,24891.0
2017-01-03 00:00:00,2017-01-03 12:30:00,2017-01-03 12:45:00,26823.0,25041.0
2017-01-03 00:00:00,2017-01-03 12:45:00,2017-01-03 13:00:00,26910.0,25108.0
2017-01-03 00:00:00,2017-01-03 13:00:00,2017-01-03 13:15:00,26808.0,25137.0
2017-01-03 00:00:00,2017-01-03 13:15:00,2017-01-03 13:30:00,26679.0,25037.0
2017-01-03 00:00:00,2017-01-03 13:30:00,2017-01-03 13:45:00,26643.0,24997.0
2017-01-03 00:00:00,2017-01-03 13:45:00,2017-01-03 14:00:00,26411.0,24849.0
2017-01-03 00:00:00,2017-01-03 14:00:00,2017-01-03 14:15:00,26588.0,24807.0
2017-01-03 00:00:00,2017-01-03 14:15:00,2017-01-03 14:30:00,26512.0,24771.0
2017-01-03 00:00:00,2017-01-03 14:30:00,2017-01-03 14:45:00,26573.0,24791.0
2017-01-03 00:00:00,2017-01-03 14:45:00,2017-01-03 15:00:00,26457.0,24708.0
2017-01-03 00:00:00,2017-01-03 15:00:00,2017-01-03 15:15:00,26610.0,24731.0
2017-01-03 00:00:00,2017-01-03 15:15:00,2017-01-03 15:30:00,26378.0,24625.0
2017-01-03 00:00:00,2017-01-03 15:30:00,2017-01-03 15:45:00,26424.0,24638.0
2017-01-03 00:00:00,2017-01-03 15:45:00,2017-01-03 16:00:00,26200.0,24525.0
2017-01-03 00:00:00,2017-01-03 16:00:00,2017-01-03 16:15:00,26357.0,24495.0
2017-01-03 00:00:00,2017-01-03 16:15:00,2017-01-03 16:30:00,26424.0,24554.0
2017-01-03 00:00:00,2017-01-03 16:30:00,2017-01-03 16:45:00,26520.0,24761.0
2017-01-03 00:00:00,2017-01-03 16:45:00,2017-01-03 17:00:00,26754.0,25018.0
2017-01-03 00:00:00,2017-01-03 17:00:00,2017-01-03 17:15:00,27082.0,25426.0
2017-01-03 00:00:00,2017-01-03 17:15:00,2017-01-03 17:30:00,27385.0,25590.0
2017-01-03 00:00:00,2017-01-03 17:30:00,2017-01-03 17:45:00,27584.0,25686.0
2017-01-03 00:00:00,2017-01-03 17:45:00,2017-01-03 18:00:00,27712.0,25722.0
2017-01-03 00:00:00,2017-01-03 18:00:00,2017-01-03 18:15:00,27511.0,25661.0
2017-01-03 00:00:00,2017-01-03 18:15:00,2017-01-03 18:30:00,27339.0,25609.0
2017-01-03 00:00:00,2017-01-03 18:30:00,2017-01-03 18:45:00,27175.0,25554.0
2017-01-03 00:00:00,2017-01-03 18:45:00,2017-01-03 19:00:00,27128.0,25498.0
2017-01-03 00:00:00,2017-01-03 19:00:00,2017-01-03 19:15:00,26995.0,25336.0
2017-01-03 00:00:00,2017-01-03 19:15:00,2017-01-03 19:30:00,26754.0,25088.0
2017-01-03 00:00:00,2017-01-03 19:30:00,2017-01-03 19:45:00,26847.0,24872.0
2017-01-03 00:00:00,2017-01-03 19:45:00,2017-01-03 20:00:00,26653.0,24658.0
2017-01-03 00:00:00,2017-01-03 20:00:00,2017-01-03 20:15:00,26286.0,24168.0
