"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(Amprion)","Actual Total Load [MW] - CTA|DE(Amprion)"
"04.01.2017 01:15 - 04.01.2017 01:30","18019","20400"
"04.01.2017 01:30 - 04.01.2017 01:45","17921","20328"
"04.01.2017 01:45 - 04.01.2017 02:00","17865","20334"
"04.01.2017 02:00 - 04.01.2017 02:15","17772","20008"
"04.01.2017 02:15 - 04.01.2017 02:30","17762","20202"
"04.01.2017 02:30 - 04.01.2017 02:45","17745","20278"
"04.01.2017 02:45 - 04.01.2017 03:00","17749","20375"
"04.01.2017 03:00 - 04.01.2017 03:15","17819","20339"
"04.01.2017 03:15 - 04.01.2017 03:30","17837","20381"
"04.01.2017 03:30 - 04.01.2017 03:45","17820","20615"
"04.01.2017 03:45 - 04.01.2017 04:00","17857","20735"
"04.01.2017 04:00 - 04.01.2017 04:15","17988","20706"
"04.01.2017 04:15 - 04.01.2017 04:30","18054","20766"
"04.01.2017 04:30 - 04.01.2017 04:45","18147","20824"
"04.01.2017 04:45 - 04.01.2017 05:00","18271","20924"
"04.01.2017 05:00 - 04.01.2017 05:15","18679","21199"
"04.01.2017 05:15 - 04.01.2017 05:30","18860","21345"
"04.01.2017 05:30 - 04.01.2017 05:45","19141","21523"
"04.01.2017 05:45 - 04.01.2017 06:00","19498","21873"
"04.01.2017 06:00 - 04.01.2017 06:15","20388","22521"
"04.01.2017 06:15 - 04.01.2017 06:30","21011","23368"
"04.01.2017 06:30 - 04.01.2017 06:45","21582","23855"
"04.01.2017 06:45 - 04.01.2017 07:00","21966","24427"
"04.01.2017 07:00 - 04.01.2017 07:15","22569","24951"
"04.01.2017 07:15 - 04.01.2017 07:30","22842","25543"
"04.01.2017 07:30 - 04.01.2017 07:45","23114","25798"
"04.01.2017 07:45 - 04.01.2017 08:00","23381","26167"
"04.01.2017 08:00 - 04.01.2017 08:15","23761","26600"
"04.01.2017 08:15 - 04.01.2017 08:30","23896","26808"
"04.01.2017 08:30 - 04.01.2017 08:45","23936","27007"
"04.01.2017 08:45 - 04.01.2017 09:00","23979","26944"
"04.01.2017 09:00 - 04.01.2017 09:15","23966","26851"
"04.01.2017 09:15 - 04.01.2017 09:30","24090","27026"
"04.01.2017 09:30 - 04.01.2017 09:45","24255","26762"
"04.01.2017 09:45 - 04.01.2017 10:00","24365","27045"
"04.01.2017 10:00 - 04.01.2017 10:15","24476","27250"
"04.01.2017 10:15 - 04.01.2017 10:30","24593","27379"
"04.01.2017 10:30 - 04.01.2017 10:45","24759","27434"
"04.01.2017 10:45 - 04.01.2017 11:00","24931","27227"
"04.01.2017 11:00 - 04.01.2017 11:15","25059","27124"
"04.01.2017 11:15 - 04.01.2017 11:30","25192","27208"
"04.01.2017 11:30 - 04.01.2017 11:45","25374","27599"
"04.01.2017 11:45 - 04.01.2017 12:00","25467","27609"
"04.01.2017 12:00 - 04.01.2017 12:15","25364","27501"
"04.01.2017 12:15 - 04.01.2017 12:30","25433","27282"
"04.01.2017 12:30 - 04.01.2017 12:45","25559","27398"
"04.01.2017 12:45 - 04.01.2017 13:00","25594","27398"
"04.01.2017 13:00 - 04.01.2017 13:15","25647","27033"
"04.01.2017 13:15 - 04.01.2017 13:30","25533","26911"
"04.01.2017 13:30 - 04.01.2017 13:45","25473","26778"
"04.01.2017 13:45 - 04.01.2017 14:00","25293","26633"
"04.01.2017 14:00 - 04.01.2017 14:15","25289","26592"
