"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TenneT GER)","Actual Total Load [MW] - CTA|DE(TenneT GER)"
"04.01.2017 08:30 - 04.01.2017 08:45","20936","22023"
"04.01.2017 08:45 - 04.01.2017 09:00","20755","22205"
"04.01.2017 09:00 - 04.01.2017 09:15","20233","22218"
"04.01.2017 09:15 - 04.01.2017 09:30","20414","22550"
"04.01.2017 09:30 - 04.01.2017 09:45","20591","22723"
"04.01.2017 09:45 - 04.01.2017 10:00","20072","22732"
"04.01.2017 10:00 - 04.01.2017 10:15","19612","22721"
"04.01.2017 10:15 - 04.01.2017 10:30","20650","22803"
"04.01.2017 10:30 - 04.01.2017 10:45","20172","22783"
"04.01.2017 10:45 - 04.01.2017 11:00","20270","22760"
"04.01.2017 11:00 - 04.01.2017 11:15","20606","22859"
"04.01.2017 11:15 - 04.01.2017 11:30","20597","23109"
"04.01.2017 11:30 - 04.01.2017 11:45","20871","23252"
"04.01.2017 11:45 - 04.01.2017 12:00","20488","23449"
"04.01.2017 12:00 - 04.01.2017 12:15","20356","23420"
"04.01.2017 12:15 - 04.01.2017 12:30","20563","23191"
"04.01.2017 12:30 - 04.01.2017 12:45","20355","23038"
"04.01.2017 12:45 - 04.01.2017 13:00","20017","22956"
"04.01.2017 13:00 - 04.01.2017 13:15","20451","22723"
"04.01.2017 13:15 - 04.01.2017 13:30","20003","22903"
"04.01.2017 13:30 - 04.01.2017 13:45","20081","22622"
"04.01.2017 13:45 - 04.01.2017 14:00","20081","22188"
"04.01.2017 14:00 - 04.01.2017 14:15","19201","21870"
"04.01.2017 14:15 - 04.01.2017 14:30","19239","21739"
"04.01.2017 14:30 - 04.01.2017 14:45","18931","21915"
"04.01.2017 14:45 - 04.01.2017 15:00","19278","21637"
"04.01.2017 15:00 - 04.01.2017 15:15","19288","21678"
"04.01.2017 15:15 - 04.01.2017 15:30","19418","21431"
"04.01.2017 15:30 - 04.01.2017 15:45","19148","21411"
"04.01.2017 15:45 - 04.01.2017 16:00","19934","21289"
"04.01.2017 16:00 - 04.01.2017 16:15","19493","21626"
"04.01.2017 16:15 - 04.01.2017 16:30","19775","21769"
"04.01.2017 16:30 - 04.01.2017 16:45","19678","21900"
"04.01.2017 16:45 - 04.01.2017 17:00","20101","22267"
"04.01.2017 17:00 - 04.01.2017 17:15","20928","22364"
"04.01.2017 17:15 - 04.01.2017 17:30","20365","22340"
"04.01.2017 17:30 - 04.01.2017 17:45","20641","22415"
"04.01.2017 17:45 - 04.01.2017 18:00","20803","21984"
"04.01.2017 18:00 - 04.01.2017 18:15","20898","22236"
"04.01.2017 18:15 - 04.01.2017 18:30","20635","22243"
"04.01.2017 18:30 - 04.01.2017 18:45","20707","22225"
"04.01.2017 18:45 - 04.01.2017 19:00","20826","22386"
"04.01.2017 19:00 - 04.01.2017 19:15","20679","22139"
"04.01.2017 19:15 - 04.01.2017 19:30","20315","21686"
"04.01.2017 19:30 - 04.01.2017 19:45","20260","21520"
"04.01.2017 19:45 - 04.01.2017 20:00","20152","21314"
"04.01.2017 20:00 - 04.01.2017 20:15","18940","21394"
"04.01.2017 20:15 - 04.01.2017 20:30","18976","20876"
"04.01.2017 20:30 - 04.01.2017 20:45","18707","20339"
"04.01.2017 20:45 - 04.01.2017 21:00","18447","19817"
"04.01.2017 21:00 - 04.01.2017 21:15","18252","19456"
"04.01.2017 21:15 - 04.01.2017 21:30","18303","19148"
"04.01.2017 21:30 - 04.01.2017 21:45","17985","18856"
"04.01.2017 21:45 - 04.01.2017 22:00","17713","18888"
"04.01.2017 22:00 - 04.01.2017 22:15","17833","19320"
"04.01.2017 22:15 - 04.01.2017 22:30","17722","18895"
"04.01.2017 22:30 - 04.01.2017 22:45","17414","18435"
"04.01.2017 22:45 - 04.01.2017 23:00","17211","17971"
"04.01.2017 23:00 - 04.01.2017 23:15","16608","17680"
"04.01.2017 23:15 - 04.01.2017 23:30","16301","17258"
"04.01.2017 23:30 - 04.01.2017 23:45","15922","17044"
"04.01.2017 23:45 - 05.01.2017 00:00","15703","17006"
"05.01.2017 00:00 - 05.01.2017 00:15","17242","16670"
"05.01.2017 00:15 - 05.01.2017 00:30","17212","16378"
"05.01.2017 00:30 - 05.01.2017 00:45","16648","16045"
"05.01.2017 00:45 - 05.01.2017 01:00","16764","15972"
"05.01.2017 01:00 - 05.01.2017 01:15","16540","15830"
"05.01.2017 01:15 - 05.01.2017 01:30","16257","15631"
"05.01.2017 01:30 - 05.01.2017 01:45","16097","15348"
"05.01.2017 01:45 - 05.01.2017 02:00","15625","14982"
"05.01.2017 02:00 - 05.01.2017 02:15","15681","14697"
"05.01.2017 02:15 - 05.01.2017 02:30","15453","14514"
"05.01.2017 02:30 - 05.01.2017 02:45","15990","14416"
"05.01.2017 02:45 - 05.01.2017 03:00","15417","14342"
"05.01.2017 03:00 - 05.01.2017 03:15","15660","14442"
"05.01.2017 03:15 - 05.01.2017 03:30","15425","14275"
"05.01.2017 03:30 - 05.01.2017 03:45","15444","14025"
"05.01.2017 03:45 - 05.01.2017 04:00","15713","14049"
"05.01.2017 04:00 - 05.01.2017 04:15","15578","14147"
"05.01.2017 04:15 - 05.01.2017 04:30","16096","14076"
"05.01.2017 04:30 - 05.01.2017 04:45","15610","14271"
"05.01.2017 04:45 - 05.01.2017 05:00","15879","14433"
"05.01.2017 05:00 - 05.01.2017 05:15","16055","14860"
"05.01.2017 05:15 - 05.01.2017 05:30","15963","15082"
"05.01.2017 05:30 - 05.01.2017 05:45","16170","15524"
"05.01.2017 05:45 - 05.01.2017 06:00","16748","15717"
"05.01.2017 06:00 - 05.01.2017 06:15","17636","16057"
"05.01.2017 06:15 - 05.01.2017 06:30","17345","16760"
"05.01.2017 06:30 - 05.01.2017 06:45","18450","17381"
"05.01.2017 06:45 - 05.01.2017 07:00","18420","17901"
"05.01.2017 07:00 - 05.01.2017 07:15","19500","18570"
"05.01.2017 07:15 - 05.01.2017 07:30","19273","18832"
"05.01.2017 07:30 - 05.01.2017 07:45","19570","19204"
"05.01.2017 07:45 - 05.01.2017 08:00","19767","19401"
"05.01.2017 08:00 - 05.01.2017 08:15","20373","19745"
"05.01.2017 08:15 - 05.01.2017 08:30","20231","19863"
"05.01.2017 08:30 - 05.01.2017 08:45","20217","19945"
"05.01.2017 08:45 - 05.01.2017 09:00","20448","20157"
"05.01.2017 09:00 - 05.01.2017 09:15","20610","20254"
"05.01.2017 09:15 - 05.01.2017 09:30","20405","20406"
"05.01.2017 09:30 - 05.01.2017 09:45","20948","20438"
"05.01.2017 09:45 - 05.01.2017 10:00","20866","20259"
"05.01.2017 10:00 - 05.01.2017 10:15","20873","20299"
"05.01.2017 10:15 - 05.01.2017 10:30","21054","20324"
"05.01.2017 10:30 - 05.01.2017 10:45","21529","20432"
"05.01.2017 10:45 - 05.01.2017 11:00","21394","20484"
