"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TransnetBW)","Actual Total Load [MW] - CTA|DE(TransnetBW)"
"03.01.2017 11:00 - 03.01.2017 11:15","7578","8519"
"03.01.2017 11:15 - 03.01.2017 11:30","7683","8497"
"03.01.2017 11:30 - 03.01.2017 11:45","7792","8511"
"03.01.2017 11:45 - 03.01.2017 12:00","7920","8516"
"03.01.2017 12:00 - 03.01.2017 12:15","8061","8443"
"03.01.2017 12:15 - 03.01.2017 12:30","8224","8559"
"03.01.2017 12:30 - 03.01.2017 12:45","8102","8439"
"03.01.2017 12:45 - 03.01.2017 13:00","7874","8436"
"03.01.2017 13:00 - 03.01.2017 13:15","7790","8343"
"03.01.2017 13:15 - 03.01.2017 13:30","7798","8388"
"03.01.2017 13:30 - 03.01.2017 13:45","7637","8333"
"03.01.2017 13:45 - 03.01.2017 14:00","7705","8297"
"03.01.2017 14:00 - 03.01.2017 14:15","7554","8232"
"03.01.2017 14:15 - 03.01.2017 14:30","7382","8235"
"03.01.2017 14:30 - 03.01.2017 14:45","7307","8160"
"03.01.2017 14:45 - 03.01.2017 15:00","7196","8088"
"03.01.2017 15:00 - 03.01.2017 15:15","7229","8063"
"03.01.2017 15:15 - 03.01.2017 15:30","7404","8109"
"03.01.2017 15:30 - 03.01.2017 15:45","7389","8044"
"03.01.2017 15:45 - 03.01.2017 16:00","7465","8061"
"03.01.2017 16:00 - 03.01.2017 16:15","7344","8057"
"03.01.2017 16:15 - 03.01.2017 16:30","7624","8118"
"03.01.2017 16:30 - 03.01.2017 16:45","7895","8192"
"03.01.2017 16:45 - 03.01.2017 17:00","8228","8287"
"03.01.2017 17:00 - 03.01.2017 17:15","8668","8437"
"03.01.2017 17:15 - 03.01.2017 17:30","8746","8661"
"03.01.2017 17:30 - 03.01.2017 17:45","8745","8660"
"03.01.2017 17:45 - 03.01.2017 18:00","8680","8605"
"03.01.2017 18:00 - 03.01.2017 18:15","8619","8591"
"03.01.2017 18:15 - 03.01.2017 18:30","8584","8536"
"03.01.2017 18:30 - 03.01.2017 18:45","8562","8486"
"03.01.2017 18:45 - 03.01.2017 19:00","8516","8403"
"03.01.2017 19:00 - 03.01.2017 19:15","8355","8396"
"03.01.2017 19:15 - 03.01.2017 19:30","8350","8338"
"03.01.2017 19:30 - 03.01.2017 19:45","8112","8255"
"03.01.2017 19:45 - 03.01.2017 20:00","8040","8198"
"03.01.2017 20:00 - 03.01.2017 20:15","7959","8057"
"03.01.2017 20:15 - 03.01.2017 20:30","7685","7932"
"03.01.2017 20:30 - 03.01.2017 20:45","7617","7928"
"03.01.2017 20:45 - 03.01.2017 21:00","7523","7750"
"03.01.2017 21:00 - 03.01.2017 21:15","7464","7662"
"03.01.2017 21:15 - 03.01.2017 21:30","7523","7701"
"03.01.2017 21:30 - 03.01.2017 21:45","7364","7638"
"03.01.2017 21:45 - 03.01.2017 22:00","7393","7618"
"03.01.2017 22:00 - 03.01.2017 22:15","7410","7610"
"03.01.2017 22:15 - 03.01.2017 22:30","7433","7564"
"03.01.2017 22:30 - 03.01.2017 22:45","7181","7377"
"03.01.2017 22:45 - 03.01.2017 23:00","7086","7192"
"03.01.2017 23:00 - 03.01.2017 23:15","6868","7198"
"03.01.2017 23:15 - 03.01.2017 23:30","6866","7240"
"03.01.2017 23:30 - 03.01.2017 23:45","6525","7080"
"03.01.2017 23:45 - 04.01.2017 00:00","6391","6888"
"04.01.2017 00:00 - 04.01.2017 00:15","6248","6728"
"04.01.2017 00:15 - 04.01.2017 00:30","6071","6781"
"04.01.2017 00:30 - 04.01.2017 00:45","5914","6707"
"04.01.2017 00:45 - 04.01.2017 01:00","5773","6544"
"04.01.2017 01:00 - 04.01.2017 01:15","5707","6431"
"04.01.2017 01:15 - 04.01.2017 01:30","5400","6431"
"04.01.2017 01:30 - 04.01.2017 01:45","5328","6315"
"04.01.2017 01:45 - 04.01.2017 02:00","5371","6323"
"04.01.2017 02:00 - 04.01.2017 02:15","5269","6299"
"04.01.2017 02:15 - 04.01.2017 02:30","5258","6241"
"04.01.2017 02:30 - 04.01.2017 02:45","5160","6156"
"04.01.2017 02:45 - 04.01.2017 03:00","5136","6152"
"04.01.2017 03:00 - 04.01.2017 03:15","5100","6122"
"04.01.2017 03:15 - 04.01.2017 03:30","5002","6087"
"04.01.2017 03:30 - 04.01.2017 03:45","4966","6026"
"04.01.2017 03:45 - 04.01.2017 04:00","5195","6101"
"04.01.2017 04:00 - 04.01.2017 04:15","5284","6106"
"04.01.2017 04:15 - 04.01.2017 04:30","5291","6120"
"04.01.2017 04:30 - 04.01.2017 04:45","5385","6160"
"04.01.2017 04:45 - 04.01.2017 05:00","5577","6358"
"04.01.2017 05:00 - 04.01.2017 05:15","5571","6344"
"04.01.2017 05:15 - 04.01.2017 05:30","5538","6332"
"04.01.2017 05:30 - 04.01.2017 05:45","5603","6360"
"04.01.2017 05:45 - 04.01.2017 06:00","5610","6464"
"04.01.2017 06:00 - 04.01.2017 06:15","5481","6457"
"04.01.2017 06:15 - 04.01.2017 06:30","5906","6881"
"04.01.2017 06:30 - 04.01.2017 06:45","5923","6921"
"04.01.2017 06:45 - 04.01.2017 07:00","6206","7183"
"04.01.2017 07:00 - 04.01.2017 07:15","6343","7369"
"04.01.2017 07:15 - 04.01.2017 07:30","6600","7515"
"04.01.2017 07:30 - 04.01.2017 07:45","6843","7663"
"04.01.2017 07:45 - 04.01.2017 08:00","6986","7776"
"04.01.2017 08:00 - 04.01.2017 08:15","7011","7903"
"04.01.2017 08:15 - 04.01.2017 08:30","7135","7993"
"04.01.2017 08:30 - 04.01.2017 08:45","7375","8020"
"04.01.2017 08:45 - 04.01.2017 09:00","7532","8098"
"04.01.2017 09:00 - 04.01.2017 09:15","7794","8131"
"04.01.2017 09:15 - 04.01.2017 09:30","8162","8327"
"04.01.2017 09:30 - 04.01.2017 09:45","8200","8500"
"04.01.2017 09:45 - 04.01.2017 10:00","8266","8652"
"04.01.2017 10:00 - 04.01.2017 10:15","8285","8611"
"04.01.2017 10:15 - 04.01.2017 10:30","8219","8637"
"04.01.2017 10:30 - 04.01.2017 10:45","8172","8732"
"04.01.2017 10:45 - 04.01.2017 11:00","8096","8835"
"04.01.2017 11:00 - 04.01.2017 11:15","8059","8885"
"04.01.2017 11:15 - 04.01.2017 11:30","8131","8791"
"04.01.2017 11:30 - 04.01.2017 11:45","8071","8847"
"04.01.2017 11:45 - 04.01.2017 12:00","8131","8898"
"04.01.2017 12:00 - 04.01.2017 12:15","8388","9010"
"04.01.2017 12:15 - 04.01.2017 12:30","8472","8993"
"04.01.2017 12:30 - 04.01.2017 12:45","8357","8807"
"04.01.2017 12:45 - 04.01.2017 13:00","8290","8877"
"04.01.2017 13:00 - 04.01.2017 13:15","8197","8875"
"04.01.2017 13:15 - 04.01.2017 13:30","8066","8939"
"04.01.2017 13:30 - 04.01.2017 13:45","7919","8756"
"04.01.2017 13:45 - 04.01.2017 14:00","7852","8796"
"04.01.2017 14:00 - 04.01.2017 14:15","7676","8721"
"04.01.2017 14:15 - 04.01.2017 14:30","7681","8694"
"04.01.2017 14:30 - 04.01.2017 14:45","7567","8638"
"04.01.2017 14:45 - 04.01.2017 15:00","7456","8626"
"04.01.2017 15:00 - 04.01.2017 15:15","7464","8596"
"04.01.2017 15:15 - 04.01.2017 15:30","7622","8590"
"04.01.2017 15:30 - 04.01.2017 15:45","7595","8569"
"04.01.2017 15:45 - 04.01.2017 16:00","7596","8498"
"04.01.2017 16:00 - 04.01.2017 16:15","7721","8449"
"04.01.2017 16:15 - 04.01.2017 16:30","7882","8518"
"04.01.2017 16:30 - 04.01.2017 16:45","8180","8474"
"04.01.2017 16:45 - 04.01.2017 17:00","8381","8629"
